title,price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,date_posted
Inspected Car | 2019 BMW X1 Sdrive20i 2.0L | GCC specifications | Ref#12736,"116,000",72891,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2019,White, Dubai,sDrive20i,bmw,x1,26/04/2022
Free Registration + Warranty | Easy Finance | 2021 M | V4 Engine | 2.5L | (H073651),"76,999",1749,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2021,Black, Dubai,Standard,hyundai,sonata,20/03/2022
Suzuki Baleno. Top Of Range. Excellent Condition,"45,000",46000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2019,Black, Dubai,GLX,suzuki,baleno,29/04/2022
Hyundai Sonata limited 2021,"75,000",13000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2021,White, Dubai,Limited,hyundai,sonata,7/5/2022
2022 | Porsche | Macan | GTS | GCC Spec | With Warranty,"459,000",33,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,,Grey, Dubai,GTS,porsche,macan,1/4/2022
BMW 750 Li Limousine | 2006 - GCC,"750,000",19295,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2006,Black, Dubai,750Li,bmw,7-series,30/04/2022
"V8 VANTAGE COUPE 2007 LOW MILEAGE, ACCIDENT FREE , FIRST OWNER, IN GOOD CONDITION","189,000",30000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Manual Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2007,Black, Dubai,Sport,aston-martin,vantage,30/01/2022
"1,981 / month | 0% DP | Giulietta Veloce / Alfa Romeo Warranty  Service Pack 120k kms!","95,000",47540,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,Red, Dubai,Veloce,alfa-romeo,giulietta,31/03/2022
Maserati GGC 2012,"99,000",110000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2012,Brown, Abu Dhabi,Sport,maserati,granturismo,15/09/2021
land-rover defender,"345,000",23500,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2020,White, Dubai,110 SE,land-rover,defender,6/5/2022
2022 Ford Expedition,"155,000",22000,Perfect inside and out,Perfect inside and out,Dealer,Other,6,Automatic Transmission,European Specs,Unknown,Gasoline,Left Hand Side,,Black, Sharjah,Other,ford,expedition,9/5/2022
"Deposit Taken, similar cars wanted, call now to sell your car","179,000",52777,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2018,Black, Dubai,GT,ford,mustang,31/03/2022
2013 ASTON MARTIN VANQUISH | GCC | FULL CARBON PACKAGE | PERFECT CONDITION,"418,000",30763,Perfect inside and out,Perfect inside and out,Dealer,Coupe,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2013,Grey, Dubai,Standard,aston-martin,vanquish,10/5/2022
AED584/month | 2020 Mitsubishi Attrage 1.2L | GCC specifications | Ref#10993,"38,900",72548,Perfect inside and out,Perfect inside and out,Dealer,Sedan,3,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2020,White, Dubai,Other,mitsubishi,attrage,29/04/2022
chevrolet tahoe,"47,000",1880000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2014,Gold, Sharjah,LT,chevrolet,tahoe,17/04/2022
Kia Mohave 2015 Direct Owner,"46,500",149000,"No accidents, very few faults",Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2015,White, Dubai,EX,kia,mohave,3/5/2022
honda civic,"54,000",169000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2018,Blue, Sharjah,Other,honda,civic,8/5/2022
Jeep Wrangler Sahara GCC space 2013,"73,000",159000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013,Red, Dubai,Sahara Unlimited Standard,jeep,wrangler,21/02/2022
BMW 530i 2022 - Under Warranty,"285,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,,Grey, Dubai,530i,bmw,5-series,8/5/2022
2021 ROLLS ROYCE CULLINAN SILVER BADGE | 4 YEARS WARRANTY AND SERVICE | LOW MILEAGE | UNIQUE COLOR,"2,248,000",600,Perfect inside and out,Perfect inside and out,Dealer,SUV,12,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2021,Green, Dubai,Standard,rolls-royce,cullinan,22/04/2022
Lamborghini URUS Capsule 2021,"1,549,999",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,600 - 700 HP,Gasoline,Left Hand Side,2021,Green, Dubai,Other,lamborghini,urus,29/04/2022
jeep cherokee,"45,000",176000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015,Red, Sharjah,Limited,jeep,cherokee,22/04/2022
MERCEDES G 63-2019-GCC-WARRANTY-FIN 5 YRS,"750,000",39000,Perfect inside and out,Perfect inside and out,Dealership/Certified Pre-Owned,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2019,White, Dubai,G 63 AMG,mercedes-benz,g-class,29/04/2022
"2,054 P.M | Sierra 1500 SLT | 0% Downpayment | Excellent Condition!","104,900",136000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2016,Red, Dubai,1500,gmc,sierra,26/04/2022
Toyota Prado Gcc V6 2008 Single Owner Low Mileage,"42,500",198000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2008,Silver, Dubai,VX MID,toyota,prado,10/3/2022
FURTHER REDUCED !! Nissan Patrol LE Titanium 400 BHP 2020 ..Fully loaded with the Nismo seats,"228,999",61183,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2020,Gold, Dubai,LE Platinum,nissan,patrol,18/12/2021
Toyota Land Cruiser (VIP Edition) model 2022,"425,000",10,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,,Black, Dubai,Other,toyota,land-cruiser,10/5/2022
(LHD) Toyota RAV4 2.5P HEV AT 4X2 MY2022 – White (VC: RAV42.5PH_1),"118,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,Other,200 - 300 HP,Gasoline,Left Hand Side,,White, Dubai,Other,toyota,rav-4,21/03/2022
Mercedes Benz CLS 350 2006 Japenese Specs,"15,000",150000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,Japanese Specs,200 - 300 HP,Gasoline,Left Hand Side,2006,Burgundy, Dubai,CLS 350,mercedes-benz,cls-class,12/4/2022
Warranty+Service Contract 2027|| BMW X5M Competition 2022,"629,000",114,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,,White, Dubai,X5M Competition,bmw,x5,7/5/2022
Audi S3 Quattro - 2.0l - 2020 - WHT - Price Reduced,"175,000",15483,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2020,White, Dubai,Other,audi,s3rs3,3/2/2022
Range Rover Autobiography 2010 GCC,"37,000",120000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2010,Grey, Umm Al Qawain,Autobiography Ultimate Edition,land-rover,range-rover-sport,13/05/2022
HYUNDAI ELANTRA 1.6L GCC CAR FULL AUTOMATIC GOOD CONDITIONS MODEL.2015,"29,500",120000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015,White, Dubai,GL,hyundai,elantra,17/04/2022
HONDA ACCORD MODEL 2015 GCC SPECS LESS KM CAMERA KEYLESS START REF.0420,"43,000",150000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015,Blue, Dubai,LX,honda,accord,24/04/2022
2016 Campovolo Grey Pastel GMC Terrain SLT Denali 3.6L/ Denali,"69,900",91000,Perfect inside and out,Perfect inside and out,Dealership/Certified Pre-Owned,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2016,Grey, Dubai,Denali,gmc,terrain,6/5/2022
Range Rover sport supercharger,"27,000",217500,"No accidents, very few faults","Minor faults, all fixed",Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2009,Burgundy, Dubai,Supercharged,land-rover,range-rover-sport,4/5/2022
"MERCEDES BENZ S350 // FRESH JAPAN IMPORTED // ONLY 55,000 KM DONE","46,000",55000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,Japanese Specs,300 - 400 HP,Gasoline,Left Hand Side,2009,Black, Dubai,S 350,mercedes-benz,s-class,15/12/2021
2014 Porsche cayenne GTS,"99,000",155000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2014,White, Dubai,GTS,porsche,cayenne,9/5/2022
JEEP WRANGLER JK UNLIMITED NIGHT EAGLE LIMITED EDITION WITH SERVICE/WARRANTY CONTRACT,"119,000",58000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2017,Silver, Dubai,Sport,jeep,wrangler-unlimited,19/04/2022
UNLIMITED K.M WARRANTY. NISSAN PATROL SE 2017 V6 AED 1780/ month EXCELLENT CONDITION .,"119,500",107900,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2017,White, Dubai,SE,nissan,patrol,28/02/2022
Automatic 2013 full options.,"54,000",245000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2013,White, Sharjah,Other,toyota,hilux,20/11/2020
Honda Civic EXI 2013 | Single Owner | Excellent Condition,"25,500",200000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2013,White, Dubai,EXi,honda,civic,10/5/2022
BMW X1 Msport,"90,000",74000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Grey, Abu Dhabi,sDrive20i M Sport,bmw,x1,10/5/2022
MERCEDES BENZ E320 // FRESH JAPAN IMPORTED // LOW MILEAGE,"22,500",78000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,Japanese Specs,300 - 400 HP,Gasoline,Left Hand Side,2004,Silver, Dubai,E 320,mercedes-benz,e-class,23/12/2021
mercedes-benz cls-class,"290,000",28000,Perfect inside and out,Perfect inside and out,Owner,Sports Car,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2020,White, Dubai,CLS 350,mercedes-benz,cls-class,12/5/2022
Nissan Sentra,"28,000",66000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,Other,Unknown,Gasoline,Left Hand Side,2016,Black, Abu Dhabi,S,nissan,sentra,19/04/2022
2014 jeep grand Cherokee Limited / 1 YEAR WARRANTY,"75,000",119000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,Blue, Dubai,Limited Plus,jeep,grand-cherokee,16/02/2022
STOCK AVAILABLE FOR TOYOTA PRADO MANY MODELS (2012 2013 2016) IN DIFFERENT SHAPES,"82,000",50000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2012,Black, Dubai,Tx-l MID,toyota,prado,6/8/2021
AED6975/month | 2020 Mercedes-Benz S 560 4.0L | Full Mercedes-Benz Service | GCC | Ref#5796,"465,000",15234,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2020,White, Abu Dhabi,Other,mercedes-benz,s-class,9/2/2022
MASERATI LEVANTE 2017 - GCC - FULLY LOADED - VERY CLEAN CONDITION - ORIGINAL PAINT,"180,000",90000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2017,Black, Dubai,Standard,maserati,levante,19/03/2022
Golf R32,"19,500",159000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2009,Silver, Dubai,R,volkswagen,golfr,9/5/2022
Kia K5 (LX5) 2021 اوراق كمارك,"68,000",40000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2021,Grey, Sharjah,Other,kia,k5,4/5/2022
Inspected Car | 2013 Jaguar XJ 2.0L | Full Jaguar Service History | GCC Specifications | Ref#11975,"52,000",102191,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,White, Dubai,Other,jaguar,xj-series,14/04/2022
"Deposit Taken, similar cars wanted, call now to sell your car","135,000",50680,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,White, Dubai,C200,mercedes-benz,c-class,3/4/2022
Cadillac Escalade 600 Black Edition Agency Warranty Full Service History GCC,"429,000",13000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Black, Dubai,Platinum,cadillac,escalade,30/03/2022
BMW X6 xDrive M50i M Sport Under Warranty 2022 GCC,"427,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,,Blue, Dubai,X6M,bmw,x6,7/5/2022
gmc sierra,"78,000",180000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2014,White, Sharjah,1500 SLE,gmc,sierra,16/04/2022
dodge challenger,"38,000",183000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2014,Black, Sharjah,Other,dodge,challenger,11/5/2022
2022 MERCEDES BENZ G63 AMG | GCC SPECS | LOW KM | WITH WARRANTY,"1,075,000",3906,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,,Grey, Dubai,G 63 AMG,mercedes-benz,g-class,6/5/2022
Inspected Car | 2013 Audi Q5 S-Line 2.0L | GCC Specifications | Ref#5208,"45,000",184375,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,White, Abu Dhabi,S-line,audi,q5,10/3/2022
TOYOTA RUSH 1.5EX 2019 IN EXCELLENT CONDITION WITH ORIGINAL SPARE KEYS,"47,500",217000,Perfect inside and out,Perfect inside and out,Dealer,Wagon,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2019,White, Dubai,EX,toyota,rush,13/05/2022
2018 Velar R DYNAMIC,"189,000",40000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2018,White, Dubai,R-Dynamic,land-rover,range-rover-velar,26/02/2022
2021 Rolls-Royce Culinan Black Badge,"2,370,000",10000,Perfect inside and out,Perfect inside and out,Owner,SUV,12,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2021,Black, Dubai,Other,rolls-royce,cullinan,17/01/2022
"Fixed price, Only whatsap pls,Nissan patrol Nismo LE platinum full face left 2020.","149,000",90000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013,Green, Dubai,LE Titanium,nissan,patrol,15/03/2022
2022 Brand Mercedes-Benz S 680 Ultra-Luxurious Maybach Local Registration + 10%,"1,595,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,12,Automatic Transmission,European Specs,600 - 700 HP,Gasoline,Left Hand Side,,Other Color, Dubai,Other,maybach,other,27/11/2021
2022 Ford Escape  NEW CAR ONLY 200KMS Full ford warranty up to 10 01 2023,"69,500",200,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2020,Black, Dubai,SE,ford,escape,16/04/2022
"WARRANTY UNTIL NOV 2022|| Porsche Panamera 4S 2018 Grey-Tan 34,000 KM","349,000",34000,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2018,Grey, Dubai,4S,porsche,panamera,22/01/2022
718 Boxter GTS with Full Service History بحالة ممتازة GTS بوكستر,"259,000",29000,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,4,Automatic Transmission,European Specs,300 - 400 HP,Gasoline,Left Hand Side,2019,Red, Dubai,GTS,porsche,boxster,30/04/2022
LEXUS is350 2017 Gcc Spec V6 FULL OPINION  لكزس آي إس 350 خليجي 2017 نظيف جدًا,"92,000",160000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2017,White, Dubai,Platinum,lexus,is-series,19/04/2022
infiniti q80,"98,000",180000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2015,Grey, Abu Dhabi,Other,infiniti,q80,27/04/2022
Super clean under warranty first owner,"44,000",95000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,White, Dubai,LS,chevrolet,impala,10/5/2022
2 years Warranty | Available For Financing | Good Condition | M 2018 | V8 engine | 4.0L | (A398729),"254,999",43967,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,North American Specs,400 - 500 HP,Gasoline,Left Hand Side,2018,Black, Dubai,S 560 4MATIC,mercedes-benz,s-class,27/10/2021
"Porsche Panamera,2022 Model,Gcc, Under Warranty and Contract Services","475,000",400,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,,White, Al Ain,Other,porsche,panamera,30/03/2022
"JCC Gulf number one dye agency without accidents, three radar screens and more","85,000",87000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2015,White, Dubai,Other,lexus,rx-series,27/04/2022
"BENTLEY GTC SPEED W12, 2022, FULL LOADED, SPECIAL ORDERED, ZERO KM","1,799,000",0,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,12,Automatic Transmission,European Specs,500 - 600 HP,Gasoline,Left Hand Side,,Green, Dubai,Other,bentley,continental-gt,4/4/2022
Lexus LS 430 2004 Model Perfect Condition Smoothly Drive,"24,000",196250,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2004,White, Sharjah,1/2 Ultra,lexus,ls-series,24/03/2022
Toyota Yaris | 2019 | SE Sedan | Well Maintained | Excellent Condition,"45,000",60000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,White, Dubai,SE,toyota,yaris,12/5/2022
AED4478/month | 2015 Mercedes-Benz GL500 4MATIC 4.6L | Full Mercedes-Benz Service | GCC | Ref#7199,"127,000",114093,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015,White, Dubai,GL 500 4matic,mercedes-benz,gl-class,27/02/2022
Mercedes G63 Double Night Package 2022,"1,049,000",10,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,,Blue, Dubai,G 63 AMG,mercedes-benz,g-class,10/5/2022
AED3667/month | 2017 Cadillac Escalade 6.2L | GCC specifications | Ref#12630,"200,000",56315,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2017,Black, Dubai,Other,cadillac,escalade,25/04/2022
2 years warranty | Available For Financing | Good Condition | V6 engine | 3.0 | (L01921),"229,999",35855,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2019,Black, Dubai,Xdrive 40i,bmw,x5,4/1/2022
"EXCLUSIVE OFFER • 4,495x60PM • 2018 Range Rover Velar R-Dynamic HSE P380 • Land Rover Warranty","289,000",48000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2018,White, Dubai,R-Dynamic,land-rover,range-rover-velar,24/03/2022
2019 Ford F-150 King Ranch,"150,000",44000,Perfect inside and out,Perfect inside and out,Dealer,Other,8,Automatic Transmission,European Specs,300 - 400 HP,Gasoline,Left Hand Side,2019,White, Sharjah,Other,ford,other,12/5/2022
"LAMBORGHINI URUS CUPSULE, 2021, GCC, FULL OPTIONS, IMMACULATE CONDITION","1,449,000",7000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2021,Orange, Dubai,Other,lamborghini,urus,4/4/2022
AED2065/month | 2015 GMC Acadia 3.6L | GCC Specifications | Ref#11485,"59,000",150826,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2015,White, Dubai,Other,gmc,acadia,10/4/2022
Inspected Car | 2011 Nissan Patrol LE 5.6L | GCC Specifications | Ref #1316,"70,000",175029,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2011,Beige, Dubai,LE,nissan,patrol,22/12/2021
"Ford Expedition Fx4  - Original Paint - Leather Seats - Brand New - AED 3,071 Monthly Payment - 0% D","165,000",8200,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,Other,300 - 400 HP,Gasoline,Left Hand Side,2021,Silver, Dubai,XLT Premium,ford,expedition,10/5/2022
2018 Mercedes AMG G500 Squared 4x4² special order Matte Grey,"625,000",46000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2018,Grey, Dubai,G 500,mercedes-benz,g-class,18/04/2022
nissan patrol,"275,000",10000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,White, Dubai,LE Titanium,nissan,patrol,12/4/2022
"BMW M4 Competition -Carbon Fiber-Original Paint -Under Warranty - AED 4,189 Monthly Payment - 0 % DP","220,000",40000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,6,Automatic Transmission,Other,300 - 400 HP,Gasoline,Left Hand Side,2018,Black, Dubai,Coupe,bmw,m4,29/11/2021
dodge ram,"280,000",700,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,300 - 400 HP,Diesel,Left Hand Side,2021,Black, Sharjah,Other,dodge,ram,12/5/2022
kia optima,"30,000",100000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2015,Silver,Abu Dhabi,EX,kia,optima,9/5/2022
FORD EXPLORER LIMTED FIRST OWNER,"44,000",197000,"No accidents, very few faults",Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,Brown, Dubai,Limited,ford,explorer,7/5/2022
BENTELEY CONTINENTAL GCC 2009 clean car full option,"110,000",88000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2009,Gold, Sharjah,Flying Spur,bentley,continental,26/12/2021
"**ONE OF ONE** Lamborghini Urus Venatus Mansory Evo, 2020, 9,000KMs Only, Full Carbon Fiber","2,250,000",9000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,800 - 900 HP,Gasoline,Left Hand Side,2020,Yellow, Dubai,Other,lamborghini,urus,3/1/2022
"AED 2,205 monthly | Flexible D.P | Warranty | BMW 435i M-Sport Convertible 2016 GCC","139,000",106000,Perfect inside and out,Perfect inside and out,Dealer,Hard Top Convertible,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2016,Blue, Dubai,435i,bmw,4-series,8/3/2022
LAMBORGHINI URUS 2021 (EXPORT),"1,380,000",138,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,Other,600 - 700 HP,Gasoline,Left Hand Side,2021,Green, Dubai,Other,lamborghini,urus,3/1/2022
AED1575/month | 2015 Nissan X-Trail 2.5L | Full Nissan Service History | GCC Specs | Ref#14216,"45,000",153293,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015,White, Dubai,Other,nissan,x-trail,12/5/2022
4 YEARS WARRANTY + SERVICE || Rolls Royce Cullinan 2022 Black-Orange 600 km,"2,550,000",6000,Perfect inside and out,Perfect inside and out,Dealer,SUV,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,,Black, Dubai,Standard,rolls-royce,cullinan,13/05/2022
